ماه,نام کالا,وزن خالص فروش
فروردین,سوسیس هات داگ رویال (70درصد گوشت),6896
فروردین,سوسیس کوکتل رویال (70درصد گوشت),6205
فروردین,سوسیس هات داگ آلمانی (40درصد گوشت),6194
فروردین,کالباس گوشت پرسی (90درصد گوشت),5332
فروردین,کالباس مرغ پرسی (90درصد),5288
فروردین,سوسیس کوکتل لیونر (55درصد گوشت),4743
فروردین,هروئیکا بدون استخوان (98درصد سینه مرغ),4157
فروردین,کالباس خشک (60درصد گوشت),3915
فروردین,کالباس خشک ممتازگرد (70درصد گوشت),3280
فروردین,کالباس مرغ تنوری (90درصد مرغ),2437
فروردین,کالباس لیونر (55درصد گوشت),2340
فروردین,هندوشکا (98درصد سینه بوقلمون),2292
فروردین,ژامبون بوقلمون(98درصد),2268
فروردین,سوسيس کوکتل شکاري پلاس  (90درصد گوشت),2233
فروردین,سوسیس هات داگ فست فودی 55درصد,2216
فروردین,کالباس مرغ و قارچ (60درصد),2202
فروردین,سوسیس هات داگ لیونر (55درصد گوشت),2023
فروردین,سوسیس کوکتل پنیر (55درصد گوشت),1757
فروردین,کالباس مرغ (70درصد مرغ),1689
فروردین,بیکن سینه بوقلمون (98درصد),1659
فروردین,همبرگر  500 گرمی (30 % گوشت قرمز)-قازاریان,1637
فروردین,کالباس خشک ممتازقالبی (70درصد گوشت),1622
فروردین,سوسیس کوکتل دودی (70درصد گوشت),1428
فروردین,سوسیس فسقلی (55درصد گوشت),1258
فروردین,بیکن صبحانه (97درصد گوشت),1213
فروردین,سوسیس هات داگ پنیر (55درصد گوشت),1200
فروردین,سوسیس هات داگ رویال 28 سانتی(70درصد گوشت),1110
فروردین,برگر ممتاز 60% - 500 گرمی -قازاریان,1072
فروردین,کالباس گوشت تنوری (90درصد گوشت),1053
فروردین,بیکن ران بوقلمون (98درصد),984
فروردین,کالباس پپرونی (70درصد گوشت),939
فروردین,میت برگر 100% گوشت - 500 گرمی رباط,857
فروردین,بیکن مخلوط (97/5درصد گوشت قرمز و مرغ),788
فروردین,بیکن گوساله (97درصد),759
فروردین,کالباس مارتادلا (40درصد گوشت),720
فروردین,سوسیس بلغاری گوشت (55درصد),700
فروردین,کالباس نوروزی (90درصد گوشت),699
فروردین,مک برگر 450 گرمي -فست فودی (گوشت 90درصد),639
فروردین,بیکن مرغ (98درصد),626
فروردین,سوسیس هات داگ باچینو (40درصد مرغ),549
فروردین,سوسيس کراکو پنير(55درصدگوشت),470
فروردین,سوسیس هات داگ قارچ و پنیر ( ماشروم کراکف ) 55%,463
فروردین,وکيوم سوسيس کراکو پنير (55درصد گوشت),454
فروردین,کالباس سالامی (90درصد گوشت),435
فروردین,سوسیس کوکتل مرغ (70درصد),414
فروردین,مک برگر 500گرمي (گوشت 90درصد),388
فروردین,توری سوسیس فسقلی 500gr(55درصد),356
فروردین,کالباس پپرونی پیتزایی (55درصد گوشت),340
فروردین,پرایم برگر 75% - 500 گرمی  رباط,308
فروردین,وکیوم بیکن صبحانه 300gr(97درصد گوشت),305
فروردین,کالباس ليونر مخلوط گوشت و مرغ (55درصد),261
فروردین,کالباس خشک خانواده 500gr(60درصد گوشت),234
فروردین,کالباس مخلوط گوشت و مرغ (90درصد),218
فروردین,اسموکی برگر 90% - 500 گرمی - رباط,215
فروردین,هندران (98درصد ران بوقلمون),193
فروردین,فيله بوقلمون فرآوري شده معمولي (98درصد),184
فروردین,سالامی روسی (97درصد گوشت),182
فروردین,کالباس لیونر خانواده 500gr(55درصد گوشت),172
فروردین,کالباس ليونر مخلوط خانواده گوشت و مرغ 500gr (55درصد),167
فروردین,توری سوسیس هات داگ آلمانی 1000gr(40درصد گوشت),160
فروردین,دارفرش بیکن صبحانه 250gr(97درصد گوشت),160
فروردین,توری سوسيس هات داگ رويال 1000gr(70درصد گوشت),150
فروردین,توری سوسيس هات داگ ليونر 1000gr(55درصد گوشت),150
فروردین,کالباس ليونر مديترانه اي ( 55درصد گوشت ),147
فروردین,کالباس هامق (40درصد مرغ),145
فروردین,سوسیس کوکتل مالوچیک (55درصد مرغ),131
فروردین,بیف برگر 85 % -500 گرمی  رباط,125
فروردین,سوسيس هات داگ باربيکيو گوشت (90درصد),121
فروردین,کارد برد کالباس مرغ تنوري 250gr (90درصد مرغ),114
فروردین,کارد برد کالباس گوشت تنوري 250gr (90درصد گوشت),112
فروردین,وکيوم کالباس گوشت تنوري 300gr (90درصد گوشت),111
فروردین,کالباس قارچ و مرغ خانواده 500gr (60درصد),110
فروردین,سوسيس کبابي  (90درصد گوشت),103
فروردین,کالباس مامریچ با گوشت نمایشی (55درصد مرغ),103
فروردین,وکيوم سوسيس کوکتل شکاري پلاس (90درصد گوشت),102
فروردین,پپرونی 70%گوشت بیگ بوی,98
فروردین,وکیوم بیکن سینه بوقلمون 300gr(98درصد),90
فروردین,توری کوکتل رویال 500gr(70درصد),90
فروردین,کالباس گوشت تنوری کیکی (90درصد گوشت),87
فروردین,وکيوم کالباس مرغ تنوري 300gr (90درصد مرغ),86
فروردین,کالباس مرغ خانواده 500gr(70درصد),84
فروردین,کارد برد کالباس مرغ پرسی250gr (90% مرغ),83
فروردین,کاردبرد گوشت پرسی 200gr(90% گوشت),81
فروردین,توری سوسیس کوکتل پنیر 2000gr(55درصد),78
فروردین,وکيوم کالباس مرغ و قارچ 300gr (60درصد),74
فروردین,وکيوم سوسيس کوکتل رويال (70درصد گوشت),69
فروردین,وکیوم بیکن گوساله 300gr(97درصد),68
فروردین,وکيوم کالباس خشک 300gr (60درصد گوشت),68
فروردین,توری سوسيس کوکتل ليونر 1000gr(55درصد گوشت),66
فروردین,استيک ژانويه (97درصد گوشت),63
فروردین,توری سوسیس هات داگ پنیر 2000gr(55درصد),60
فروردین,فيله بوقلمون فرآوري شده اسپايسي (98درصد),59
فروردین,توری کوکتل دودی 500gr(70درصد ),57
فروردین,وکیوم بال مرغ 300gr(98درصد),55
فروردین,رولت مخلوط (98درصد گوشت قرمز و بوقلمون),54
فروردین,وکيوم کالباس سالامي 300gr (90درصد گوشت),53
فروردین,کالباس خشک ممتاز خانواده 500gr (70درصد گوشت),53
فروردین,وکيوم سوسيس ساليکسو (90درصد گوشت),53
فروردین,توری هات داگ رویال 500gr(70درصد),52
فروردین,وکيوم سوسيس کوکتل پنير (55درصد گوشت),46
فروردین,توری کوکتل پنیر 500gr(55درصد),46
فروردین,دارفرش سوسيس سوجوک 250gr(90درصد گوشت),42
فروردین,وکیوم سوسيس کوکتل دودي (70درصد گوشت),40
فروردین,وکیوم سوسیس فرانکفورتر (مخلوط گوشت مرغ 80%)400gr,40
فروردین,توری هات داگ پنیر 500gr(55درصد),39
فروردین,دارفرش بیکن ران بوقلمون 250gr(98درصد),37
فروردین,وکيوم سوسيس سوجوک (90درصد گوشت),37
فروردین,کالباس گوشت خانواده 500gr (90درصد),37
فروردین,توری هات داگ لیونر 500gr(55درصد),36
فروردین,دارفرش بیکن مخلوط 250gr(97.5درصد),35
